place,artist,counts
1,Insane Clown Posse,7886.0
2,LL Cool J,7840.0
3,Lil Wayne,7487.0
4,Fabolous,7139.0
5,Wu-Tang Clan,6474.0
6,Joni Mitchell,6070.0
7,Eminem,5982.0
8,Kanye West,5918.0
9,Jimmy Buffett,5889.0
10,Ice Cube,5829.0
11,Gucci Mane,5650.0
12,Bob Dylan,5649.0
13,Drake,5566.0
14,Weird Al Yankovic,5389.0
15,Marillion,5331.0
16,Nick Cave,5314.0
17,Outkast,5262.0
18,Red Hot Chili Peppers,5147.0
19,Rush,5051.0
20,Snoop Dogg,5016.0
21,Nicki Minaj,4975.0
22,Bruce Springsteen,4898.0
23,Indigo Girls,4865.0
24,Phish,4838.0
25,Xzibit,4788.0
26,Puff Daddy,4726.0
27,Kid Rock,4691.0
28,Lou Reed,4661.0
29,Beautiful South,4656.0
30,Robbie Williams,4623.0
31,R. Kelly,4590.0
32,Paul Simon,4546.0
33,John Prine,4536.0
34,Notorious B.I.G.,4518.0
35,Metallica,4455.0
36,Elvis Costello,4451.0
37,J Cole,4435.0
38,Arrogant Worms,4430.0
39,Slayer,4425.0
40,David Bowie,4418.0
41,NOFX,4418.0
42,Johnny Cash,4405.0
43,Squeeze,4397.0
44,Alice Cooper,4394.0
45,Chris Brown,4366.0
46,Clash,4362.0
47,Judas Priest,4343.0
48,Kinks,4315.0
49,Z-Ro,4314.0
50,Megadeth,4312.0
51,Iggy Pop,4293.0
52,XTC,4235.0
53,Iron Maiden,4233.0
54,Aerosmith,4208.0
55,Everlast,4195.0
56,Tragically Hip,4163.0
57,Rod Stewart,4140.0
58,James Taylor,4122.0
59,Horrible Histories,4104.0
60,Frank Zappa,4102.0
61,Gordon Lightfoot,4097.0
62,Elton John,4090.0
63,Kenny Chesney,4074.0
64,Hank Williams Jr.,4064.0
65,Grateful Dead,4038.0
66,Adam Sandler,4027.0
67,Who,4004.0
68,Tom T. Hall,3998.0
69,Billy Joel,3987.0
70,David Allan Coe,3982.0
71,Bette Midler,3946.0
72,Helloween,3929.0
73,Pearl Jam,3915.0
74,Pet Shop Boys,3908.0
75,Dream Theater,3903.0
76,Queen,3883.0
77,Patti Smith,3864.0
78,Pogues,3863.0
79,Mariah Carey,3858.0
80,John Denver,3853.0
81,Dolly Parton,3851.0
82,Young Jeezy,3847.0
83,Green Day,3844.0
84,Overkill,3840.0
85,Counting Crows,3839.0
86,John Mellencamp,3818.0
87,Marilyn Manson,3815.0
88,Kate Bush,3791.0
89,Rolling Stones,3779.0
90,Nazareth,3769.0
91,UB40,3768.0
92,Lady Gaga,3761.0
93,Genesis,3750.0
94,Deep Purple,3744.0
95,Glee,3739.0
96,Incubus,3737.0
97,Alabama,3730.0
98,Ne-Yo,3724.0
99,Linkin Park,3690.0
100,Michael Jackson,3683.0
101,Kris Kristofferson,3680.0
102,Christmas Songs,3674.0
103,Emmylou Harris,3652.0
104,Neil Young,3644.0
105,Morrissey,3641.0
106,Leonard Cohen,3640.0
107,Bob Seger,3639.0
108,Barbra Streisand,3635.0
109,Bon Jovi,3616.0
110,Rihanna,3565.0
111,Ozzy Osbourne,3553.0
112,George Harrison,3550.0
113,Tim McGraw,3542.0
114,Nitty Gritty Dirt Band,3539.0
115,Cyndi Lauper,3533.0
116,Jason Mraz,3528.0
117,Peter Gabriel,3523.0
118,Cliff Richard,3523.0
119,Korn,3515.0
120,Carly Simon,3501.0
121,Hank Snow,3498.0
122,Jackson Browne,3487.0
123,Tori Amos,3487.0
124,Randy Travis,3478.0
125,Flo-Rida,3469.0
126,Usher,3466.0
127,Christina Aguilera,3465.0
128,Bing Crosby,3462.0
129,Christy Moore,3459.0
130,Oingo Boingo,3435.0
131,U2,3433.0
132,Donna Summer,3432.0
133,Pitbull,3417.0
134,Beach Boys,3413.0
135,Justin Bieber,3408.0
136,Judy Garland,3404.0
137,Dave Matthews Band,3404.0
138,Stevie Wonder,3395.0
139,Arlo Guthrie,3389.0
140,Prince,3347.0
141,Rage Against The Machine,3345.0
142,Cher,3336.0
143,P!nk,3334.0
144,Miley Cyrus,3332.0
145,Van Morrison,3326.0
146,America,3313.0
147,Black Sabbath,3305.0
148,Michael W. Smith,3305.0
149,Pink Floyd,3289.0
150,Primus,3266.0
151,Kenny Rogers,3252.0
152,Eurythmics,3252.0
153,Styx,3252.0
154,"Harry Connick, Jr.",3234.0
155,Yes,3231.0
156,Noa,3230.0
157,Venom,3224.0
158,Sting,3223.0
159,Chicago,3217.0
160,George Strait,3217.0
161,Wyclef Jean,3216.0
162,Hank Williams,3216.0
